Department,Hourly Rate 
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Seattle Police Department,$89.25
Law Department,$89.18
Law Department,$89.18
Law Department,$89.18
Law Department,$89.18
Information Technology,$89.14
Information Technology,$89.14
Information Technology,$89.14
Information Technology,$89.04
Information Technology,$88.91
Seattle Police Department,$88.84
Seattle Police Department,$88.84
Information Technology,$88.7
Information Technology,$88.7
Information Technology,$88.7
Information Technology,$88.7
Mayor's Office,$88.62
Mayor's Office,$88.62
Law Department,$88.57
Law Department,$88.53
Information Technology,$88.51
Information Technology,$88.5
Information Technology,$88.5
Information Technology,$88.5
Information Technology,$88.5
Information Technology,$88.4
Information Technology,$88.4
Information Technology,$88.4
Information Technology,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Seattle Police Department,$88.4
Human Resources,$88.38
Law Department,$88.34
Law Department,$88.34
Law Department,$88.34
City Budget Office,$88.34
Information Technology,$88.3
Information Technology,$88.28
Seattle Police Department,$88.23
City Budget Office,$88.06
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Seattle Police Department,$87.98
Information Technology,$87.94
Information Technology,$87.94
Information Technology,$87.94
Information Technology,$87.94
Information Technology,$87.77
Economic and Revenue Forecasts,$87.76
Seattle Police Department,$87.61
Seattle Police Department,$87.61
Seattle Police Department,$87.55
Seattle Police Department,$87.55
Seattle Police Department,$87.55
Seattle Police Department,$87.55
Seattle Police Department,$87.55
Seattle Police Department,$87.55
Information Technology,$87.51
Law Department,$87.47
Information Technology,$87.38
Information Technology,$87.38
Information Technology,$87.38
Information Technology,$87.38
Law Department,$87.27
Law Department,$87.26
Information Technology,$87.22
Human Resources,$87.02
Information Technology,$87.
Information Technology,$87.
Information Technology,$86.76
Human Resources,$86.65
Human Resources,$86.65
Human Resources,$86.65
Law Department,$86.55
Information Technology,$86.52
Information Technology,$86.34
Seattle Police Department,$86.28
Seattle Police Department,$86.28
Seattle Police Department,$86.28
Human Resources,$86.22
Mayor's Office,$86.21
Mayor's Office,$86.21
Mayor's Office,$86.21
Mayor's Office,$86.21
Information Technology,$86.17
Information Technology,$86.16
Information Technology,$86.15
Seattle Police Department,$85.99
Information Technology,$85.79
Human Resources,$85.62
Law Department,$85.58
Law Department,$85.58
Law Department,$85.58
Information Technology,$85.57
Information Technology,$85.57
Information Technology,$85.57
Information Technology,$85.43
Information Technology,$85.43
Information Technology,$85.43
Information Technology,$85.43
Information Technology,$85.29
Information Technology,$85.28
Information Technology,$85.28
Information Technology,$85.15
Information Technology,$85.11
Information Technology,$84.97
Information Technology,$84.95
Information Technology,$84.89
Human Resources,$84.88
Human Resources,$84.88
Seattle Police Department,$84.88
Seattle Police Department,$84.88
Seattle Police Department,$84.88
Employees Retirement System,$84.88
Employees Retirement System,$84.88
Seattle Police Department,$84.88
Seattle Police Department,$84.88
Seattle Police Department,$84.88
Seattle Police Department,$84.88
Information Technology,$84.88
Seattle Police Department,$84.88
Information Technology,$84.87
Police Relief and Pension,$84.83
Police Relief and Pension,$84.83
Police Relief and Pension,$84.83
City Budget Office,$84.83
Information Technology,$84.69
City Budget Office,$84.65
Law Department,$84.56
Law Department,$84.55
Seattle Police Department,$84.53
Information Technology,$84.52
Information Technology,$84.5
Information Technology,$84.5
Information Technology,$84.5
Information Technology,$84.5
Information Technology,$84.5
Intergovernmental Relations,$84.39
Information Technology,$84.37
Information Technology,$84.29
Human Resources,$84.2
Information Technology,$84.17
Seattle Police Department,$84.16
Information Technology,$84.14
Information Technology,$84.12
Seattle Police Department,$84.07
Information Technology,$84.05
Information Technology,$83.94
Information Technology,$83.94
Information Technology,$83.92
Information Technology,$83.92
Information Technology,$83.92
Human Resources,$83.8
Law Department,$83.75
Seattle Police Department,$83.57
Information Technology,$83.5
Law Department,$83.46
Law Department,$83.46
Law Department,$83.46
Seattle Police Department,$83.27
Information Technology,$83.2
Information Technology,$83.2
Information Technology,$83.2
Seattle Police Department,$83.05
Seattle Police Department,$83.
City Budget Office,$82.95
Information Technology,$82.79
Information Technology,$82.67
